temperature,voltage,current,coolant_flow
0.0,0.8888888888888893,0.040000000000000036,0.875
0.19852941176470607,0.6666666666666679,0.19999999999999996,0.75
0.41176470588235325,0.5,0.40000000000000013,0.625
0.6617647058823528,0.27777777777777857,0.72,0.3749999999999998
0.9338235294117649,0.11111111111111072,0.8800000000000001,0.12499999999999978
0.30882352941176494,0.7777777777777786,0.31999999999999984,0.75
0.5073529411764706,0.5555555555555571,0.52,0.5
0.7573529411764706,0.3333333333333357,0.76,0.25
0.8529411764705883,0.16666666666666785,0.8399999999999999,0.12499999999999978
0.09558823529411775,1.0,0.0,1.0
0.36764705882352944,0.7222222222222214,0.28,0.75
0.5661764705882355,0.4444444444444464,0.5073684210526315,0.5
0.8161764705882355,0.22222222222222143,0.8,0.25
1.0,0.0,1.0,0.0
0.17647058823529393,0.4766081871345058,0.11999999999999988,0.875
0.4558823529411766,0.6111111111111107,0.44000000000000017,0.625
0.6911764705882351,0.3888888888888893,0.6800000000000002,0.5197368421052628
0.9044117647058822,0.05555555555555358,0.9199999999999999,0.12499999999999978
0.2279411764705883,0.8333333333333321,0.15999999999999992,0.875
0.5441176470588234,0.5,0.56,0.5
